orgunitname,start_time,end_time,start_timeid,end_timeid,n_months
BOANE,202204,202312,64,84,21
NAMAACHA,202204,202312,64,84,21
MATUTUÌNE,202204,202312,64,84,21
MATOLA,202204,202312,64,84,21
MOAMBA,202204,202312,64,84,21
MANHIÇA,202204,202312,64,84,21
MARRACUENE,202204,202312,64,84,21
MAGUDE,202204,202312,64,84,21
CIDADE DE CHIMOIO,202204,202312,64,84,21
CHANGARA,202204,202312,64,84,21
CAIA,202204,202312,64,84,21
CHIBABAVA,202204,202312,64,84,21
ANGOCHE,202204,202312,64,84,21
BILENE,202204,202312,64,84,21
ANGÓNIA,202204,202312,64,84,21
BÚZI,202204,202312,64,84,21
BÁRUE,202204,202312,64,84,21
CHIMBONILA,202204,202312,64,84,21
CHIGUBO,202204,202312,64,84,21
DERRE,202204,202312,64,84,21
CIDADE DE INHAMBANE,202204,202312,64,84,21
CIDADE DE QUELIMANE,202204,202312,64,84,21
CHIUTA,202204,202312,64,84,21
CHIÚRE,202204,202312,64,84,21
CHOKWÉ,202204,202312,64,84,21
CHONGOENE,202204,202312,64,84,21
CIDADE DA BEIRA,202204,202312,64,84,21
CIDADE DE XAI-XAI,202204,202312,64,84,21
CHIBUTO,202204,202312,64,84,21
CHEMBA,202204,202312,64,84,21
CHERINGOMA,202204,202312,64,84,21
CHICUALACUALA,202204,202312,64,84,21
CHINDE,202204,202312,64,84,21
ANCUABE,202204,202312,64,84,21
ALTO MOLÓCUÈ,202204,202312,64,84,21
ZAVALA,202204,202312,64,84,21
TAMBARA,202204,202312,64,84,21
TSANGANO,202204,202312,64,84,21
VANDUZI,202204,202312,64,84,21
NACALA-PORTO,202204,202312,64,84,21
NAMARROI,202204,202312,64,84,21
CUAMBA,202204,202312,64,84,21
DOA,202204,202312,64,84,21
GURO,202204,202312,64,84,21
GURUÉ,202204,202312,64,84,21
HOMOINE,202204,202312,64,84,21
DONDO,202204,202312,64,84,21
GILÉ,202204,202312,64,84,21
GOVURO,202204,202312,64,84,21
ERATI,202204,202312,64,84,21
FUNHALOURO,202204,202312,64,84,21
KAMPFUMO,202204,202312,64,84,21
KAMUBUKWANA,202204,202312,64,84,21
KATEMBE,202204,202312,64,84,21
LALAUA,202204,202312,64,84,21
INHASSUNGE,202204,202312,64,84,21
JANGAMO,202204,202312,64,84,21
KAMAVOTA,202204,202312,64,84,21
KAMAXAKENE,202204,202312,64,84,21
LARDE,202204,202312,64,84,21
LUGELA,202204,202312,64,84,21
LIUPO,202204,202312,64,84,21
GUIJÁ,202204,202312,64,84,21
INHASSORO,202204,202312,64,84,21
INHARRIME,202204,202312,64,84,21
GORONGOSA,202204,202312,64,84,21
GONDOLA,202204,202312,64,84,21
MANDIMBA,202204,202312,64,84,21
MALEMA,202204,202312,64,84,21
MAJUNE,202204,202312,64,84,21
MAGANJA DA COSTA,202204,202312,64,84,21
MAPAI,202204,202312,64,84,21
MARROMEU,202204,202312,64,84,21
MANICA,202204,202312,64,84,21
LUABO,202204,202312,64,84,21
MACHANGA,202204,202312,64,84,21
MACHAZE,202204,202312,64,84,21
MACOSSA,202204,202312,64,84,21
MACOMIA,202204,202312,64,84,21
MABOTE,202204,202312,64,84,21
MACANGA,202204,202312,64,84,21
MACATE,202204,202312,64,84,21
MABALANE,202204,202312,64,84,21
MASSINGIR,202204,202312,64,84,21
MASSINGA,202204,202312,64,84,21
MARÍNGUE,202204,202312,64,84,21
MASSANGENA,202204,202312,64,84,21
MANDLAKAZI,202204,202312,64,84,21
METUGE,202204,202312,64,84,21
MOATIZE,202204,202312,64,84,21
MILANGE,202204,202312,64,84,21
MAÚA,202204,202312,64,84,21
MEMBA,202204,202312,64,84,21
MECUFI,202204,202312,64,84,21
MECUBURI,202204,202312,64,84,21
MAXIXE,202204,202312,64,84,21
MECANHELAS,202204,202312,64,84,21
ILHA DE MOÇAMBIQUE,202204,202312,64,84,21
ILE,202204,202312,64,84,21
VILANKULOS,202204,202312,64,84,21
QUISSANGA,202204,202312,64,84,21
RIBAUE,202204,202312,64,84,21
SUSSUNDENGA,202204,202312,64,84,21
RAPALE,202204,202312,64,84,21
PANDA,202204,202312,64,84,21
NAMACURRA,202204,202312,64,84,21
NACALA-A-VELHA,202204,202312,64,84,21
NHAMATANDA,202204,202312,64,84,21
NGAÚMA,202204,202312,64,84,21
NICOADALA,202204,202312,64,84,21
METARICA,202204,202312,64,84,21
MOCUBA,202204,202312,64,84,21
MOCUBELA,202204,202312,64,84,21
MOGINCUAL,202204,202312,64,84,21
MECONTA,202204,202312,64,84,21
MUANZA,202204,202312,64,84,21
MORRUMBENE,202204,202312,64,84,21
MOGOVOLAS,202204,202312,64,84,21
MOLUMBO,202204,202312,64,84,21
MOMA,202204,202312,64,84,21
MONAPO,202204,202312,64,84,21
MOPEIA,202204,202312,64,84,21
MORRUMBALA,202204,202312,64,84,21
MUEDA,202204,202312,64,84,21
MUECATE,202204,202312,64,84,21
MOSSURIL,202204,202312,64,84,21
MOSSURIZE,202204,202312,64,84,21
MURRUPULA,202204,202312,64,84,21
MUTARARA,202204,202312,64,84,21
MULEVALA,202204,202312,64,84,21
